id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-06-25 00:02:11,湖北,68160,0,63647,4512,0,0,,,,0,,0,0,,0
700000,2021-06-25 09:32:25,台湾,14389,0,9041,605,0,0,,,,0,,0,0,,0
810000,2021-06-25 09:32:25,香港,11905,0,11619,210,0,0,,,,0,,0,0,,0
440000,2021-06-25 09:32:25,广东,2723,0,2526,8,0,0,,,,6,,18,0,,-12
310000,2021-06-25 09:32:25,上海,2196,0,2131,7,0,0,,,,6,,3,0,,3
230000,2021-06-25 00:02:10,黑龙江,1612,0,1599,13,0,0,,,,0,,0,0,,0
330000,2021-06-25 00:02:10,浙江,1383,0,1334,1,0,0,,,,0,,0,0,,0
410000,2021-06-25 00:02:10,河南,1317,0,1291,22,0,0,,,,0,,0,0,,0
130000,2021-06-25 00:02:10,河北,1317,0,1310,7,0,0,,,,0,,0,0,,0
510000,2021-06-25 09:32:25,四川,1084,0,1037,3,0,0,,,,5,,3,0,,2
110000,2021-06-25 09:32:25,北京,1076,0,1051,9,0,0,482.0,0.0,466.0,1,,0,0,,1
430000,2021-06-25 09:32:25,湖南,1052,0,1047,4,0,0,,,,1,,0,0,,1
340000,2021-06-25 00:02:10,安徽,1004,0,998,6,0,0,,,,0,,0,0,,0
650000,2021-06-25 00:02:10,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
360000,2021-06-25 00:02:10,江西,937,0,936,1,0,0,,,,0,,0,0,,0
370000,2021-06-25 00:02:11,山东,883,0,875,7,0,0,,,,0,,0,0,,0
320000,2021-06-25 09:32:25,江苏,742,0,729,0,0,0,,,,0,,1,0,,-1
350000,2021-06-25 09:32:25,福建,661,0,614,1,0,0,,,,0,,0,0,,0
610000,2021-06-25 00:02:10,陕西,624,0,609,3,0,0,,,,0,,0,0,,0
500000,2021-06-25 09:32:25,重庆,598,0,590,6,0,0,,,,0,,1,0,,-1
220000,2021-06-25 00:02:10,吉林,573,0,570,3,0,0,,,,0,,0,0,,0
210000,2021-06-25 09:32:25,辽宁,427,0,422,2,0,0,,,,0,,1,0,,-1
120000,2021-06-25 09:32:25,天津,400,0,386,3,0,0,,,,1,,0,0,,1
530000,2021-06-25 09:32:25,云南,396,0,350,2,0,0,,,,2,,0,0,,2
150000,2021-06-25 00:02:11,内蒙古,394,0,387,1,0,0,,,,0,,0,0,,0
450000,2021-06-25 00:02:11,广西,275,0,273,2,0,0,,,,0,,0,0,,0
140000,2021-06-25 00:02:11,山西,253,0,252,0,0,0,,,,0,,0,0,,0
620000,2021-06-25 00:02:10,甘肃,195,0,192,2,0,0,,,,1,,0,0,,1
460000,2021-06-25 00:02:10,海南,188,0,181,6,0,0,,,,0,,0,0,,0
520000,2021-06-25 00:02:11,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-06-25 00:02:10,宁夏,76,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-06-25 00:02:10,澳门,53,0,51,0,0,0,,,,0,,0,0,,0
630000,2021-06-25 00:02:10,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-06-25 00:02:10,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
